Car Index,Station Index,Arrival Time,,,,Position,Velocity
7,4,395.5273827,,,,108.4364602,1.160833212
7,5,411.3317159,,,,130.3202977,1.794257324
7,6,423.0944592,,,,164.2082711,2.491050192
7,7,437.3821316,,,,194.834803,2.40504283
7,8,453.5070299,,,,229.4874275,1.404546513
7,1,469.823101,,,,21.53699914,2.520708897
7,2,483.6217196,,,,44.07796344,2.352775474
7,4,498.0117122,,,,86.25,2.479217087
7,4,512.2978106,,,,104.9830602,2.621248327
7,5,527.0557399,,,,139.745613,1.634297141
7,6,543.1236605,,,,164.3815622,2.314174669
7,7,557.6618907,,,,191.4501731,2.149685005
7,1,571.6221496,,,,0,2.179085215
7,1,587.3501643,,,,21.86897242,2.763728211
7,3,603.1347218,,,,57.5,2.500054133
7,3,621.3203121,,,,78.10495835,1.558689357
7,4,635.167609,,,,109.8238807,1.927732885
7,5,650.370239,,,,136.8156478,2.317668393
7,6,667.6280377,,,,167.1390935,2.098707907
7,7,683.298608,,,,194.320869,2.160485703
7,8,696.4686765,,,,229.3731777,1.832647409
7,1,707.9841431,,,,22.37088859,2.252307104
7,2,723.6409747,,,,47.85048167,2.79077358
7,3,739.1654086,,,,81.51653651,2.450662562
7,4,755.7311674,,,,103.2932537,1.569509944
7,5,769.7662772,,,,124.4521475,1.961590792
7,6,780.3676181,,,,150.103756,3.210517241
7,7,796.1215701,,,,192.6817885,1.75475802
7,8,808.6529855,,,,228.34691,2.478916465
7,2,822.6317408,,,,28.75,2.247703632
7,2,841.6967004,,,,52.82379583,1.691394002
7,3,854.8504272,,,,81.35848796,2.541366324
7,4,871.2828726,,,,107.8744889,1.748603641
7,5,884.8103871,,,,135.1598966,2.005345685
7,6,901.2188124,,,,165.3892214,1.83151968
7,7,915.9306914,,,,187.8696505,2.332295374
7,8,928.111176,,,,228.5989242,2.007944856
7,1,942.411814,,,,24.44053136,2.460930744
7,2,961.2239381,,,,49.24433477,1.235850858
7,3,973.0809714,,,,73.18877486,2.231786903
7,4,987.5494107,,,,100.2158458,2.285858141
7,5,1001.186126,,,,132.2834497,1.923721712
8,2,1.371610314,,,,53.66666667,2.794768525
8,3,14.94247095,,,,80.30582748,1.972958612
8,4,28.41501817,,,,107.2899688,2.691350018
8,6,42.98473956,,,,143.75,3.027344295
8,6,58.23266783,,,,165.5017934,2.795083519
8,7,73.28690291,,,,192.9659214,2.308045719
8,8,86.96478983,,,,227.2484442,2.144404577
8,1,100.7285046,,,,21.28802434,2.077541548
8,3,113.9421902,,,,57.5,2.417035213
8,4,131.5924844,,,,86.25,1.931124957
8,5,145.9141517,,,,115,2.25020487
8,6,162.9382039,,,,143.75,2.332792442
8,6,176.4547527,,,,165.2806757,2.097225146
8,7,189.4079075,,,,196.2535271,1.995081216
8,8,203.3673258,,,,225.8998805,2.129405003
8,1,218.1175063,,,,23.36920388,2.087240398
8,2,232.9680482,,,,52.14535104,2.698330856
8,3,249.2429906,,,,77.21811676,2.3858519
8,4,266.4152761,,,,107.8961532,2.117471038
8,5,281.311481,,,,136.0776796,1.798247003
8,7,296.1186467,,,,172.5,2.088450693
8,8,310.7430444,,,,201.25,1.754652674
8,1,327.855745,,,,0,2.077348688
8,1,344.4536848,,,,21.39750467,1.873902566
8,2,359.6276234,,,,51.81878278,2.62988262
8,3,373.5522784,,,,77.97859271,2.439329648
8,4,389.87322,,,,108.6605469,1.958655031
8,6,403.8468908,,,,143.75,2.322646366
8,6,419.7658515,,,,167.2497753,2.155175368
8,7,434.7147375,,,,191.8377862,2.143568351
8,8,450.1412534,,,,229.5290967,1.950703478
8,1,466.961604,,,,18.04897353,1.878653973
8,2,477.9169523,,,,50.39213296,2.721605494
8,4,493.8774698,,,,86.25,2.448324958
8,4,508.4763719,,,,109.4544413,2.603018363
8,5,524.6055202,,,,138.1763848,1.743497496
8,6,539.6155252,,,,165.683141,2.319779396
8,7,553.1031638,,,,193.234228,2.165936969
8,8,567.729321,,,,229.1530238,1.822192579
8,1,584.8604015,,,,22.41108621,2.523811196
8,2,600.203314,,,,48.8779853,2.367984838
8,3,616.0947412,,,,78.8904729,2.933141248
8,4,632.4825278,,,,105.622109,2.165737313
8,5,647.3782872,,,,138.6081857,2.508649386
8,6,665.0736534,,,,167.68926,1.826971323
8,7,680.0913982,,,,193.8150469,2.017373128
8,8,691.8651619,,,,228.5624369,1.872964933
8,1,705.1518866,,,,20.02819265,2.023626973
8,2,720.1833247,,,,47.73134803,2.448630977
8,3,737.233905,,,,74.75946353,1.717730113
8,4,748.2723129,,,,97.50282816,3.278676856
8,5,759.9284188,,,,135.488974,2.096525001
8,7,773.3917191,,,,172.5,2.917078689
8,8,791.2387251,,,,201.25,1.801574322
8,1,805.5076993,,,,0,3.024277482
8,1,820.3172728,,,,23.45743981,1.799259469
8,2,838.9319962,,,,49.03149886,1.615104333
8,3,852.9256704,,,,76.28358984,2.56873524
8,4,867.2079005,,,,103.749084,2.30119189
8,5,880.5267848,,,,137.9451359,2.146903308
8,6,897.3363651,,,,164.3138753,2.18625285
8,7,910.1937038,,,,187.2178851,2.527842011
8,8,923.3709091,,,,228.7082481,1.637746012
8,1,940.66066,,,,18.87024719,1.358970048
8,2,954.5437912,,,,39.85995429,2.173239364
8,3,967.2286093,,,,80.00053762,1.70500693
8,4,981.0817502,,,,108.6663276,2.426446869
8,5,995.2255181,,,,137.1345964,1.868200995
9,3,11.92964925,,,,79.83312021,2.40484721
9,4,25.5502733,,,,108.4611675,2.856861309
